trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
6505349-CT-12OCT-Combo-Weekday-01,10:29:00,10:29:00,70211,5,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:33:00,10:33:00,70201,6,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:37:00,10:37:00,70191,7,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:41:00,10:41:00,70171,8,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:44:00,10:44:00,70161,9,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:49:00,10:49:00,70141,10,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:53:00,10:53:00,70131,11,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:56:00,10:56:00,70121,12,0,0
6505349-CT-12OCT-Combo-Weekday-01,10:59:00,10:59:00,70111,13,0,0
6505349-CT-12OCT-Combo-Weekday-01,11:02:00,11:02:00,70101,14,0,0
6505349-CT-12OCT-Combo-Weekday-01,11:05:00,11:05:00,70091,15,0,0
6505349-CT-12OCT-Combo-Weekday-01,11:08:00,11:08:00,70081,16,0,0
6505349-CT-12OCT-Combo-Weekday-01,11:13:00,11:13:00,70061,17,0,0
